id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,description,date_publication,url,source
205KDJY,"Ingénieur / Ingénieure En Développement Big Data, Data Scientist (H/F)",B. LOTUS,38 - MEYLAN,38240,CDI,Annuel de 38000.0 Euros à 40000.0 Euros sur 12.0 mois,2 An(s),"Maîtrise d'un outil de gestion de flux (Kafka, Flink…), Data engineer, Intelligence artificielle, Programmation en Python, Analyser, exploiter, structurer des données, Actualiser régulièrement ses connaissances, Collaborer dans un groupe pour réaliser un projet, Créer, élaborer et identifier des concepts innovants, Développer une application en lien avec une base de données, Gérer et maitriser des bases de données (SQL/NoSQL), Modéliser une base de données, Proposer des pistes d'amélioration des solutions","Nous sommes à la recherche d'un(e) Développeur/Développeuse Big Data expérimenté(e) qui aime résoudre des problèmes complexes dans tout le spectre des technologies. Chez B.Lotus, vous serez amené(e) à travailler sur des projets innovants et ambitieux autour des thèmes de la mobilité et des transports, à participer à toutes les phases de mise en œuvre d'un projet : conception, développement, documentation, mise en production et maintien opérationnel.

Nous recherchons une personne autonome, fiabl",2026-03-13,https://candidat.francetravail.fr/offres/recherche/detail/205KDJY,France Travail
205DXDG,Senior Data Scientist W/M/Nb (H/F),Non précisé,69 - LYON 03,69003,CDI,Non précisé,4 An(s) - en science des données,"Adapter les outils de traitement statistique de données, Conduire des travaux d'études et de recherche, Définir et faire évoluer des procédés de traitement de l'information, Solides compétences en Python , Connaissances Looker Studio, Tableau ou similaires, Connaissance des modèls de jeu vidéo, Maitrise BigQuery, dbt, Maîtrise approfondie du langage SQL","En tant que Senior Data Scientist, vous serez au cœur de notre processus décisionnel basé sur les données.
Vous utiliserez l'apprentissage automatique pour prévoir le comportement des joueurs, en particulier leur valeur à long terme, et vous créerez des
outils et des tableaux de bord qui donneront vie à nos données sur les jeux et l'acquisition d'utilisateurs. Vous travaillerez en étroite collaboration avec les concepteurs de jeux et les responsables marketing, en les aidant à prendre des décisi",2026-03-10,https://candidat.francetravail.fr/offres/recherche/detail/205DXDG,France Travail
205WSMH,Data Engineer (H/F),KEEPCOD,44 - NANTES,44000,CDI,Annuel de 38000.0 Euros à 48000.0 Euros sur 12.0 mois,48 Mois,"Adapter les outils de traitement statistique de données, Conduire des travaux d'études et de recherche, Définir et faire évoluer des procédés de traitement de l'information","Qui sommes-nous ? 

Hello, moi c'est Dorian. Je suis chargé de recrutement au sein de l'entreprise Keepcod. Bon, je ne vais pas vous mentir, rédiger des annonces ce n'est toujours pas mon activité préférée. mais promis, je vais faire en sorte que ça reste agréable à lire

Keepcod, c'est une ESN Nantaise à taille humaine (environ 25 personnes). Ici, le leitmotiv, c'est le bien-être et le développement de nos équipes, aussi bien sur le plan pro que perso.

Et concrètement, ça veut dire quoi ?

ON ",2026-03-24,https://candidat.francetravail.fr/offres/recherche/detail/205WSMH,France Travail
206GZXP,Ingénieur-E Données (H/F),RENNES METROPOLE,35 - RENNES CEDEX 2,35000,CDI,Mensuel de 2900.0 Euros à 3300.0 Euros sur 12.0 mois,Débutant accepté,"Analyse de données expérimentales, Big data Analytics, Business Intelligence (BI) - Informatique décisionnelle, Data engineer, Mastère spécialisé expert en sciences des données, Modélisation et simulation, Modélisation statistique, Programmation en Python, Utilisation de logiciels statistiques, Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, Analyser des données pour soutenir des décisions stratégiques, Analyser et traiter l'information à des fins d'anticipation, Argumenter et anticiper les objections, Assurer le suivi de la qualité des données, Concevoir des modèles théoriques (calcul, simulation, modélisation), Définir les solutions de stockage et de structuration des données, Déterminer l'opportunité de l'intégration d'outils d'intelligence artificielle et de data science dans le modèle d'affaires, Etablir des prévisions, des évaluations, des recommandations, des perspectives, Exploiter des solutions de Data Science ou d'Intelligence Artificielle, Gérer des données massives, Mettre en place des outils d'aide à la décision, Mobiliser des données massives pour éclairer les prises de décisions, Réaliser une analyse ou modélisation statistique de données, Réaliser un modèle de prévision, Structurer, synthétiser des informations, Utiliser des logiciels spécifiques, Langage de programmation R","Au sein de la direction Données, Transition Écologique et Ressources, le service Données Territoriales et Information Géographique soutient le développement des usages des données dans les politiques publiques. L'unité Accompagnement des Métiers met à disposition des services de la collectivité une équipe pluridisciplinaire pour les accompagner dans la prise en main, l'usage et la valorisation de leurs données.
Le  poste d'ingénieur-e données vise à accompagner les services de la collectivité da",2026-03-31,https://candidat.francetravail.fr/offres/recherche/detail/206GZXP,France Travail
206CYZF,Chargé-E D'Études En Accidentologie (H/F),CEREMA,33 - ST MEDARD EN JALLES,33160,CDD,Mensuel de 2715.0 Euros sur 12.0 mois,Débutant accepté,,"Le département Mobilités, 38 agents, exerce dans tous les secteurs du domaine Mobilité : espace publics et voirie urbaine, sécurité des déplacements, politiques et services, connaissance, modélisation et évaluation, systèmes de transports intelligents, mobilités connectées.

Le présent poste se situe au sein du groupe Sécurité des Déplacements et des Infrastructures. Il aborde la Sécurité des Déplacements avec une expertise data et d'animation. Il comprend l'administration de la base nationale d",2026-03-27,https://candidat.francetravail.fr/offres/recherche/detail/206CYZF,France Travail
206KKWY,Chargé De Traitement Des Données Et Référent Uness (H/F),SORBONNE UNIVERSITE,75 - Paris 12e Arrondissement,75012,CDD,Non précisé,Débutant accepté,"Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information, Capacité à schématiser, Capacité à gérer les situations urgentes, Organisation et rigueur, Capacité rédactionnelle, Organisation / fonctionnement recherche et ens.sup, Réglementation applicable à son domaine d’activité","La faculté de santé Sorbonne Université assure l'enseignement des études médicales : du PASS au 3e cycle incluant DES, DESC et la thèse d'exercice et près de 300 DU et DIU. Elle forme les sages-femmes mais aussi des formations paramédicales : l'orthophonie, la psychomotricité et l'orthoptie.
Elle prend une part majeure dans le processus d'universitarisation en accueillant des étudiants des IFSI, podologie et ergothérapie.
La direction des Formations en Santé de Sorbonne Université, a en charge l",2026-04-02,https://candidat.francetravail.fr/offres/recherche/detail/206KKWY,France Travail
205TPNT,Chargé-E D'Études « Modélisation Hydraulique» (H/F),DIRECTION TERRITORIALE EST - Nancy,54 - Tomblaine,54510,CDD,Non précisé,Débutant accepté,"Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information","Généralités / Contexte du poste - 1000 caractères maximum

Le groupe Eau Risques et Aménagement (ERA - 8A/A+, 6B/B+) de l'Agence de Nancy Cerema Est, est organisé en deux activités principales dont les missions concernent la prévention des risques naturels et la gestion de l'eau en ville.

Le-la chargé d'études «Modélisation hydraulique» assure la réalisation d'études et missions d'assistance technique pour le compte des services de l'État (DREAL, DDT,Préfecture) ou des collectivités dans les do",2026-03-20,https://candidat.francetravail.fr/offres/recherche/detail/205TPNT,France Travail
205FTXN,Chargé De La Modélisation Des Parcours Masters Et Bachelors (H/F),CENTRALESUPELEC,94 - Gentilly,94250,CDI,Non précisé,2 An(s),"Définir et faire évoluer des procédés de traitement de l'information, Assurer le suivi de la qualité des données, Paramétrer un logiciel, un outil, un système numérique, Structurer, synthétiser des informations, Utiliser l'anglais en contexte professionnel, Gérer des situations sensibles ou conflictuelles, Qualités relationnelles , Contrôle des données, Réglementation de la scolarité , Analyser et structurer des parcours pédagogiques, Paramétrage des données","Au sein de la Direction des Formations de CentraleSupélec et rattaché(e) au Responsable de la mise en œuvre des programmes Bachelor, votre mission principale sera de concevoir, paramétrer et maintenir les parcours pédagogiques des formations Bachelors et Masters (Master of Science et Masters recherche) dans les systèmes d'information, en conformité avec les maquettes pédagogiques, la réglementation en vigueur et les exigences institutionnelles. 
Le portefeuille des formations ayant vocation à au",2026-03-10,https://candidat.francetravail.fr/offres/recherche/detail/205FTXN,France Travail
1180948,Alternance - Data Scientist H/F,Non précisé,92 - Boulogne-Billancourt,92100,CDD,Non précisé,Débutant accepté,,"
              Au sein de l’équipe Machine Learning & IA, rattaché(e) au Chief Data et Ad Tech Officer, vous aurez pour missions de travailler sur des sujets data sciences variées. De la collecte des données à la modélisation en passant par les différentes étapes d’un projet data science. Vous apporterez vos connaissances dans l’exploitation de données provenant de sources variées et hétérogènes (historiques utilisateurs, bases CRM, metadata, …). Également, vous aurez pour mission de concevoir e",2026-04-05,https://candidat.francetravail.fr/offres/recherche/detail/1180948,France Travail
1180702,Annonce Générique - Apprentissage – Data Scientist (F/H),Non précisé,78 - Versailles,78000,CDD,Non précisé,0 An(s),,"
            Au sein de Dassault Systèmes, nos équipes R&D proposent des sujets d’apprentissage au sein de leurs équipes. Chaque équipe peut être dédiée à un produit (CATIA, SIMULIA, ENOVIA, etc.) ou un laboratoire de Recherche.

 

Vos missions

 

Durant votre apprentissage, voici le type de sujets sur lesquels vous travaillerez :

 


	Ingénieur Machine Learning - Optimisation d’un parc de serveurs (F/H)
	Data Scientist - Méthodes probabilistes non supervisées pour l’extraction de bases de co",2026-04-05,https://candidat.francetravail.fr/offres/recherche/detail/1180702,France Travail
