id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,competences_extraites,description,date_publication,url,source
56754993,Algorithm (Camera) Engineer,MicroTECH Global Ltd,Saint-Tropez,,CDI,119000.0 - 120000.0 GBP,Non précisé,,,"Responsibilities • Serve as the technical authority for pixel reconstruction algorithms, influencing imaging architecture decisions across ISP, sensor, optics, and AI imaging pipelines, and driving improvements in end-user perceptual video quality and overall camera experience. • Collaborate closely with cross-functional teams to develop proposals for next-generation imaging solutions in the domain of pixel reconstruction, addressing customer re... ",08/04/2026,https://www.reed.co.uk/jobs/algorithm-camera-engineer/56754993,Reed
56667224,Software Architect .Net / Backend Azure - Paris,Salt Search,France,,CDI,600.0 - 900.0 GBP,Non précisé,,,"Software Architect .NET / Backend Azure - Finance - Paris / Brussels Duration: 6 months Rate: Flexible Hybrid: 8 days per month onsite - the rest is remote Very URGENT Role summary We're modernizing a mission-critical communications layer that routes messages and files between core systems and the outside world . As a Senior .NET architect, you will contribute to the technical design of the rewrite of an application currently developed using var... ",18/03/2026,https://www.reed.co.uk/jobs/software-architect-net-backend-azure-paris/56667224,Reed
