id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,description,date_publication,url,source,scraped_at
a485c06f876c1ce6be6b62e157ce957b,Praktikant (M/W/D) Prozessoptimierung & Ki-Automatisierung,evolve+adapt GmbH,Essen,,CDI,,,IT,"Schwerpunkt: Smart Workflows &#x26; Data Reporting 📍 Essen (Rüttenscheid) | ⏰ Vollzeit oder Teilzeit | 🚀 E-Commerce Agentur Wir skalieren Marken auf Amazon. Das bedeutet: Viele Daten, viele Berichte, viele Prozesse. Wir wollen nicht ""härter"" arbeiten, sondern smarter. Deshalb suchen wir dich: Einen Kopf, der Spaß daran hat, interne Abläufe zu durchleuchten, KI-Tools sinnvoll einzubinden und Datenströme (z. B. zwischen Schnittstellen) zu automati",1970-01-01,https://www.arbeitnow.com/jobs/companies/evolveadapt-gmbh/praktikant-prozessoptimierung-ki-automatisierung-essen-363234,arbeitnow,2026-05-05T11:49:53.155813+00:00
dba8749b2d73b95451e6eb7ee169bbce,React Developer:In (M/W/D) Im Kölner Startup,GreenPocket GmbH,Cologne,,CDI,,,Software Development,"Du willst mehr sein als ein Byte im Datenmeer? Du möchtest gerne mit Leidenschaft Verantwortung in agilen Teams übernehmen und aktiv mit uns dazu beitragen, die Klimawende voranzutreiben? Dann sollten wir uns unbedingt kennenlernen! Über uns Als agiles, grünes Startup und Spezialist für Energiemanagement- und Visualisierungssoftware beteiligen wir uns aktiv an der Gestaltung einer nachhaltigen, klimaneutralen Zukunft. So ist es unsere Mission, mit intuitiver, KI",1970-01-01,https://www.arbeitnow.com/jobs/companies/greenpocket-gmbh/react-developerin-im-kolner-startup-cologne-82706,arbeitnow,2026-05-05T11:49:53.155813+00:00
4e0b57d7161a8333f45420893f7353f0,Praktikant / Intern (M/W/D) Für Ki & Automatisierung,feld.energy GmbH,Munich,,CDI,,,Project Management,"Deine Mission Als Praktikant (m/w/d) für KI &#x26; Automatisierung arbeitest du eng mit unserem Verantwortlichen für unsere Tool- und Systemlandschaft zusammen und unterstützt Teams dabei, operative Herausforderungen mit KI, Automatisierung und Software zu lösen. Du baust nicht nur Konzepte – du setzt sie um. Schnell, pragmatisch und mit echtem Impact. Perfekt für ambitionierte Persönlichkeiten, die nicht nur über KI sprechen, sondern mit ihr bauen wollen. Über uns</h",1970-01-01,https://www.arbeitnow.com/jobs/companies/feldenergy-gmbh/praktikant-intern-fur-ki-automatisierung-munich-331159,arbeitnow,2026-05-05T11:49:53.155813+00:00
96703d3c7247b63f81b3cfb8f5cb7c96,Hr Payroll Specialist / Mitarbeiter Entgeltabrechnung. (M/W/D),ODAV AG,Straubing,,CDI,,,HR,"Wir suchen zum nächstmöglichen Zeitpunkt einen HR Payroll Specialist / Mitarbeiter Entgeltabrechnung. (m/w/d) Als innovativer Technologiepartner des Handwerks unterstützt die ODAV AG seit über 50 Jahren Handwerksbetriebe und deren Organisationen mit hochwertigen Software-Lösungen und IT-Dienstleistungen. Aufgaben Eigenverantwortliche Abwicklung von monatlichen Entgeltabrechnungen, Melde-Bescheinigungswesen, Pflege von Personalstammdaten, etc. Persönliche",1970-01-01,https://www.arbeitnow.com/jobs/companies/odav-ag/hr-payroll-specialist-mitarbeiter-entgeltabrechnung-straubing-99900,arbeitnow,2026-05-05T11:49:53.155813+00:00
287c555baa69a9f7b4b676c77fd9cfda,Data Integration & Api Engineer M/W/D - Bi & Data Automation,loyos bi GmbH,Hamburg,,REMOTE,,,"Remote, Software Development","loyos bi ist ein wachsendes SaaS-Unternehmen aus Hamburg. Unsere Financial Management Suite und HR Reporting Suite auf Basis von Microsoft Power BI ermöglichen es Unternehmen, Finanz- und HR-Daten klar, verständlich und visuell modern auszuwerten. Mit viel Gestaltungsfreiheit, wenig Hierarchien und echter Begeisterung für Technologie bauen wir ein Unternehmen, das datengetriebene Entscheidungen ermöglicht – pragmatisch, effizient und zukunftsgerichtet. Wir arbeiten remote-first und bie",1970-01-01,https://www.arbeitnow.com/jobs/companies/loyos-bi-gmbh/data-integration-api-engineer-bi-data-automation-hamburg-66228,arbeitnow,2026-05-05T11:49:53.155813+00:00
979761aee8f7a0c632e0668bba95e098,Technische*R Produktdesigner*In,TWK,Wedel,,CDI,,,Engineering,"Du weißt, was es bedeutet, wenn aus einem leeren Bildschirm ein reales Produkt wird – ein Bauteil, das sitzt, eine Baugruppe, die funktioniert, eine Zeichnung, die in der Fertigung nicht nachgefragt werden muss. Genau das ist dein Ding. Du denkst in 3D, bevor der erste Fräser anläuft, und du verstehst, dass gute Konstruktion weit mehr ist als schöne Modelle – sie ist die Grundlage für alles, was danach kommt. In Wedel bei Hamburg suchen wir jemanden, der diesen Anspruch lebt und unsere Produk",1970-01-01,https://www.arbeitnow.com/jobs/companies/twk/technischer-produktdesignerin-wedel-11870,arbeitnow,2026-05-05T11:49:53.155813+00:00
a084a0d0931633a693f3a4806e074dff,Ausbildung Zum Fachinformatiker Für Systemintegration (M/W/D) - Leipzig,Medialine EuroTrade AG,Leipzig,,CDI,,,IT,"Die Medialine AG steht als Full-Service IT-Systemhaus für maßgeschneiderte Lösungen für den gehobenen Mittelstand. Seit fast zwanzig Jahren verlassen sich unsere Kunden auf unsere Expertise und unser Know-how in den Bereichen IT Infrastructure, Managed &#x26; Cloud Services sowie Business Solutions. Aufgaben Im Rahmen Deiner Ausbildung (ab August 2026) arbeitest Du in einem engagierten Team und lernst die verschiedenen Funktionsbereiche eines Systemhauses kenn",1970-01-01,https://www.arbeitnow.com/jobs/companies/medialine-eurotrade-ag/ausbildung-zum-fachinformatiker-fur-systemintegration-leipzig-459499,arbeitnow,2026-05-05T11:49:53.155813+00:00
d3e3a1993ffbcba8ad4e4c0ba13344c4,Senior Performance Marketing Manager (Remote In De) - All Genders,ADBAKER,Cologne,,REMOTE,,,"Remote, Marketing and Communication","join the team High Budgets. Hoher Impact. Klare Verantwortung. Als Senior Performance Marketing Manager bei ADBAKER steuerst du 6- bis 7-stellige Paid Social Budgets für unterschiedliche Brands und entwickelst Strategien, die profitables Wachstum liefern. Meta und TikTok sind dein Spielfeld – Daten deine Entscheidungsgrundlage. Du testest, skalierst und optimierst entlang des gesamten Funnels und bringst sowohl Kunden als auch unser Team auf ein neues Performance-Level.",1970-01-01,https://www.arbeitnow.com/jobs/companies/adbaker/senior-performance-marketing-manager-remote-in-de-all-genders-cologne-92673,arbeitnow,2026-05-05T11:49:53.155813+00:00
45ec0c52c177af2c1b49c9a4f2c36ce4,Software-Entwicklungsingenieur (M/W/X) Für Hochfrequenz-Testsysteme (Netzwerkanalyse),K-tronik GmbH,Memmingen,,CDI,,,Software Development,"Projektbeschreibung: Technologie begeistert Sie? Uns auch! Zur Verstärkung unseres Expertenteams bei unserem Kunden aus der Messtechnik suchen wir einen Software-Entwicklungsingenieur (m/w/x) für Hochfrequenz-Testsysteme (Netzwerkanalyse) in Festanstellung bei K-tronik. Wir freuen uns darauf, Sie persönlich kennenzulernen – und gemeinsam mit Leidenschaft und Teamgeist an spannenden Projekten und zukunftsweisenden Technologien zu arbeiten. Aufgaben: Mit Ihrer Pas",1970-01-01,https://www.arbeitnow.com/jobs/companies/k-tronik-gmbh/software-entwicklungsingenieur-fur-hochfrequenz-testsysteme-netzwerkanalyse-memmingen-163152,arbeitnow,2026-05-05T11:49:53.155813+00:00
6f870aa8a85e3202c49797737816abdc,Senior Backend Engineer (Python / Azure) - Schnittstellen & Lagerautomation,Altruan GmbH,Massing,,CDI,,,Software Development,"Über uns Altruan ist ein wachsendes Handels- und Logistik-Unternehmen mit Sitz in Massing (Rottal-Inn). Wir betreiben einen vollautomatisierten AutoStore-Lager­betrieb, verkaufen über mehr als zehn Marktplätze und eigene Shops, und unsere SaaS-Landschaft (Weclapp, Shopify, Marketplaces, Pulpo WMS, Pulse WCS, MongoDB, Azure) wird durch ein internes Backend-Team verbunden und weiterentwickelt. Wir suchen einen erfahrenen Senior, der diese kritische Integrations- und Automatisierun",1970-01-01,https://www.arbeitnow.com/jobs/companies/altruan-gmbh/senior-backend-engineer-python-azure-schnittstellen-lagerautomation-massing-139183,arbeitnow,2026-05-05T11:49:53.155813+00:00
