id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,competences_extraites,description,date_publication,url,source
juinor-manager-strategic-projects-operations-frankfurt-am-main-58977,(Juinor) Manager Strategic Projects & Operations (M/F/D),Cashlink Technologies GmbH,Frankfurt am Main,,Remote,Non précisé,Non précisé,"Remote, Project Management","Remote, Project Management","<h2>Deine Aufgaben</h2>
<ul>
<li>Du begleitest strategische Kundenprojekte von der ersten Beratung über das Projektmanagement bis hin zur erfolgreichen Durchführung von Proof of Concepts (POCs).</li>
<li>Du verantwortest das Onboarding von Neukunden und stellst einen reibungslosen Start auf unserer Plattform sicher.</li>
<li>Du steuerst das Partnermanagement entlang des gesamten Kundenlebenszyklus und bist die zentrale Schnittstelle für unsere Partner.</li>
<li>Du unterstützt bei der Optimierung",1777480263,https://www.arbeitnow.com/jobs/companies/cashlink-technologies-gmbh/juinor-manager-strategic-projects-operations-frankfurt-am-main-58977,Arbeitnow
junior-social-media-manager-deutschland-saarbrucken-496290,Junior Social Media Manager Deutschland (M/W/D),Nailscamp GmbH,Saarbrücken,,CDI,Non précisé,Non précisé,Marketing and Communication,Marketing and Communication,"<p><strong>Nailscamp</strong> ist ein E-Commerce-Unternehmen für Nagelkosmetik. Du findest uns unter unseren Marken <strong>Proglow</strong> oder <strong>Ongle24</strong>. Während Ongle24 zu den Marktführern in Frankreich und Belgien gehört, ist Proglow der „Rising Star“ unter den Nagelliebhabern in Deutschland. Unsere Mission: Profi-Gel-Kosmetik zu erschwinglichen Preisen. Luxus-Beauty muss nicht teuer sein!</p>
<p>Zur Verstärkung unseres Teams suchen wir ab sofort einen kreativen Kopf für die ",1777480263,https://www.arbeitnow.com/jobs/companies/nailscamp-gmbh/junior-social-media-manager-deutschland-saarbrucken-496290,Arbeitnow
fachinformatiker-ostfildern-11973,Fachinformatiker (M/W/D),eder - Agentur für Produktkommunikation,Ostfildern,,CDI,Non précisé,Non précisé,System and Network Administration,System and Network Administration,"<p>In der Agentur eder legen wir bereits seit über 50 Jahren den Fokus auf professionelle Produktkommunikation. Für internationale Kunden aus der Automobil- und Industriebranche erschaffen wir State-of-the-Art Kommunikationsmittel für das digitale Vermarkten, Erklären und Verkaufen ihrer Produkte. Wir begeistern unsere Kunden mit der ganzen Vielfalt der digitalen Produktkommunikation. Von der CGI-Visualisierung von Stills und Animationen, virtuellen Produkterlebnissen, interaktiven Medien, Conte",1777478429,https://www.arbeitnow.com/jobs/companies/eder-agentur-fur-produktkommunikation/fachinformatiker-ostfildern-11973,Arbeitnow
sales-account-executive-dusseldorf-191926,Sales Account Executive (M/W/D),SAVVY® Telematic Systems AG,Düsseldorf,,CDI,Non précisé,Non précisé,"Management, Team Leader","Management, Team Leader","<p><strong>Sales Account Executive (m/w/d)</strong></p>
<p><strong>Industrial IoT | Telematik | SaaS | Rail &#x26; Chemical Logistics</strong></p>
<p>📍 Schaffhausen (Schweiz) | Vollzeit | Europaweite Reisetätigkeit</p>
<p><strong>Warum diese Rolle interessant ist</strong></p>
<p>Du kennst den Markt für <strong>Telematik, IoT oder industrielle Softwarelösungen</strong> bereits – aber suchst mehr:</p>
<ul>
<li>mehr Einfluss auf Deals</li>
<li>mehr Verantwortung</li>
<li>mehr Geschwindigkeit in Ent",1777478429,https://www.arbeitnow.com/jobs/companies/savvy-telematic-systems-ag/sales-account-executive-dusseldorf-191926,Arbeitnow
software-tester-testautomatisierung-munich-127117,Software Tester Testautomatisierung (M/W/D),MY Humancapital GmbH,Munich,,CDI,Non précisé,Non précisé,Software Development,Software Development,"<p>Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „<strong>Software Tester Testautomatisierung (m/w/d)“.</strong></p>
<h2><strong>Aufgaben</strong></h2>
<ul>
<li>Als Software Test Engineer (m/w/d) planen und entwickeln Sie strukturierte Testfälle auf Basis von Anforderungen</li>
<li>Zudem führen Sie manuelle und automatisierte Tests sowie Regressionstests in komplexen Systemumgebungen durch</li>
<li>Auch erstellen und pflegen Sie Testkonzepte, ",1777476649,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/software-tester-testautomatisierung-munich-127117,Arbeitnow
senior-frontend-entwickler-angular-typescript-refnr-46660-berlin-254880,Senior Frontend-Entwickler Angular/Typescript (Ref.Nr.: 46660),Wavestone Germany AG,Berlin,,CDI,Non précisé,Non précisé,IT,IT,"<p>Wir suchen einen Senior Frontend-Entwickler für die Entwicklung eines zukunftsweisenden Gitter-Steuerungssystems. Die Rolle konzentriert sich auf die Erstellung komplexer, interaktiver Visualisierungen und Konfigurationswerkzeuge zur Unterstützung der Netzüberwachung und -steuerung in einer modularen Leitzentralen-Umgebung, und den Übergang von monolithischen Legacy-Anwendungen zu einer modernen, komponentenbasierten Architektur.</p>
<p><strong>Key Facts</strong><br>
Start: 01.06.2026<br>
Dur",1777476648,https://www.arbeitnow.com/jobs/companies/wavestone-germany-ag/senior-frontend-entwickler-angular-typescript-refnr-46660-berlin-254880,Arbeitnow
senior-java-cloud-backend-engineer-refnr-46659-munich-21429,Senior Java Cloud Backend Engineer (M/F/D) (Ref.Nr.: 46659),Wavestone Germany AG,Munich,,Remote,Non précisé,Non précisé,"Remote, IT","Remote, IT","<p>We are looking for a Developer (Nearshore) to further develop a master data solution in the after-sales domain, focused on managing battery systems, vehicle references, and logistics data. The role is ideal for candidates from nearshore countries who want to work on complex software architectures in a modern cloud infrastructure.</p>
<p><strong>Key Facts</strong><br>
Start: 29.04.2026<br>
Duration: not known<br>
Capacity: 100 %<br>
Employment type:<br>
Job site: Remote<br>
Job country: Deutsc",1777476648,https://www.arbeitnow.com/jobs/companies/wavestone-germany-ag/senior-java-cloud-backend-engineer-refnr-46659-munich-21429,Arbeitnow
sap-co-consultant-refnr-46657-munich-487419,Sap Co Consultant (M/F/D) (Ref.Nr.: 46657),Wavestone Germany AG,Munich,,Remote,Non précisé,Non précisé,"Remote, IT","Remote, IT","<p>We are looking for an experienced SAP CO consultant to support complex cost accounting processes and module integrations at locations in Romania or Poland.</p>
<p><strong>Key Facts</strong><br>
Start: 04.05.2026<br>
Dauer: Nicht bekannt<br>
Auslastung: 100 %<br>
Einsatzart:<br>
Einsatzort: Remote<br>
Einsatzland: Sonstiges</p>
<p>Your tasks</p>
<p>• Support and configuration of Product Costing, in particular standard costing and costing variants</p>
<p>• Ensure seamless integration of bill of",1777476648,https://www.arbeitnow.com/jobs/companies/wavestone-germany-ag/sap-co-consultant-refnr-46657-munich-487419,Arbeitnow
werkstudent-vertrieb-finanzberatung-praxis-statt-theorie-chemnitz-149859,Werkstudent Vertrieb / Finanzberatung (M/W/D) – Praxis Statt Theorie,Shereen Patzelt,Chemnitz,,CDI,Non précisé,Non précisé,"Finance, high school or equivalent","Finance, high school or equivalent","<p style="";"">Du willst neben dem Studium mehr als nur einen Nebenjob?</p><p style="";"">Du willst verstehen, wie Vertrieb und Einkommen wirklich funktionieren?</p><p style="";;""></p><h3 style="";""><strong>Deine Aufgaben</strong></h3><p style="";""></p><ul><li><p>Unterstützung im Vertrieb</p></li><li><p>Teilnahme an Trainings</p></li><li><p>Erste Kundenkontakte</p></li><li><p>Vorbereitung von Beratungsgesprächen</p></li></ul><p style="";;""></p><h3 style="";""><strong>Was wir bieten</strong></h3><p style=""",1777476014,https://www.arbeitnow.com/jobs/companies/shereen-patzelt/werkstudent-vertrieb-finanzberatung-praxis-statt-theorie-chemnitz-149859,Arbeitnow
fachinformatiker-anwendungsbetreuung-erp-systeme-saerbeck-383740,Fachinformatiker Anwendungsbetreuung & Erp-Systeme (M/W/D),PolyTALENT GmbH,Saerbeck,,CDI,Non précisé,Non précisé,"Information technology, vocational","Information technology, vocational","<p>PolyTALENT unterstützt ein stark wachsenden Partner <strong>in Saerbeck</strong> bei der Besetzung dieser verantwortungsvollen Position als <strong>Fachinformatiker für Anwendungsentwicklung (m/w/d)</strong>.</p><p style="";""></p><p style="";""></p><h4><strong><span style=""font-size: 1.1em"">Benefits</span></strong></h4><ul><li><p><strong>Unbefristete Festanstellung</strong> in einem wirtschaftlich stabilen, wachsenden Unternehmen</p></li><li><p><strong>30 Urlaubstage</strong> für verlässliche Er",1777476014,https://www.arbeitnow.com/jobs/companies/polytalent-gmbh/fachinformatiker-anwendungsbetreuung-erp-systeme-saerbeck-383740,Arbeitnow
