id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,competences_extraites,description,date_publication,url,source
2129659666,Data & Process Intelligence Jr,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/data-process-intelligence-jr-at-evolve-4408271634,LinkedIn
2129659650,Data Engineer Jr,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/data-engineer-jr-at-evolve-4408298399,LinkedIn
2129659638,Machine Learning Engineer Junior,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/machine-learning-engineer-junior-at-evolve-4408293592,LinkedIn
2129659313,"Analista Cobol Valores/Fondos (Remoto En España, 36-40K)",Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/analista-cobol-valores-fondos-remoto-en-espa%C3%B1a-36-40k-at-squad-technology-solutions-4407442567,LinkedIn
2129659241,Marketing Manager,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/marketing-manager-at-mercuryo-4398018316,LinkedIn
2129659238,"Legal Counsel, Emea",Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/legal-counsel-emea-at-solenis-4406071812,LinkedIn
2129658912,Senior Product Marketing Manager,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/senior-product-marketing-manager-at-jimdo-4366195086,LinkedIn
2129658421,Senior Public Relations Manager,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/senior-public-relations-manager-at-25-8-pr-agency-4406068858,LinkedIn
2129658375,Data Consultant (Sap Bw),Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/data-consultant-sap-bw-at-avvale-4408505152,LinkedIn
2129658342,Media Analyst,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/media-analyst-at-ebiquity-plc-4406072834,LinkedIn
2129658328,Fullstack Developer React / Python,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/fullstack-developer-react-python-at-ioon-4406076804,LinkedIn
2129658321,Channel Sales Director,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/channel-sales-director-at-commvault-4407013425,LinkedIn
2129657886,Financial Crime Technical Lead,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/financial-crime-technical-lead-at-sotec-consulting-4406083125,LinkedIn
2129657883,"Manager, Product Management - Merchant Solutions",Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/manager-product-management-merchant-solutions-at-uatp-4408298534,LinkedIn
2129657882,Ingeniero De Software,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/ingeniero-de-software-at-virtualcave-4408296791,LinkedIn
2129657878,Profesor De Pintura - Clases De Arte - Sin Experiencia,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/profesor-de-pintura-clases-de-arte-sin-experiencia-at-tusclasesparticulares-4407003004,LinkedIn
2129657871,Confluent Solutions Architect,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/confluent-solutions-architect-at-shakers-4406081529,LinkedIn
2129657862,Global Head Of Technical Review,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/global-head-of-technical-review-at-bsi-4407013641,LinkedIn
2129657857,Consultor Funcional Business Central,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/consultor-funcional-business-central-at-changetheblock-4406096110,LinkedIn
2129657858,"Docente Freelance Para La Asignatura ""Gestión De Proyectos Bioinformáticos""  |  Stem Future Education",Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/docente-freelance-para-la-asignatura-gesti%C3%B3n-de-proyectos-bioinform%C3%A1ticos-stem-future-education-at-stem-future-education-%C2%AE-4408297254,LinkedIn
2129657851,"Sw Testing Manager (Remote In Spain, Up To 64K)",Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/sw-testing-manager-remote-in-spain-up-to-64k-at-squad-technology-solutions-4408283986,LinkedIn
2129657845,Comercial Counsel (Loyalty),Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/comercial-counsel-loyalty-at-revolut-4406984364,LinkedIn
2129657842,Corredor De Seguros,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/corredor-de-seguros-at-safebrok-4405457480,LinkedIn
2129657838,Mathematics & Python Expert - Freelance Ai Trainer,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/mathematics-python-expert-freelance-ai-trainer-at-mindrift-4408298373,LinkedIn
2129657611,Administrativo De Auditorias - Food Latam,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/administrativo-de-auditorias-food-latam-at-nsf-4398553214,LinkedIn
2129657445,Devops Engineer (Remote),Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/devops-engineer-remote-at-quik-hire-staffing-4408294857,LinkedIn
2129657437,Junior Software Engineer (Remote),Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/junior-software-engineer-remote-at-jobs-ai-4408500825,LinkedIn
2129657322,Product Design Manager,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/product-design-manager-at-olly-olly-4408281849,LinkedIn
2129657302,Data Scientist Junior,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/data-scientist-junior-at-evolve-4408282403,LinkedIn
2129657286,Head Of Quality & Compliance - Emea,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/head-of-quality-compliance-emea-at-bsi-4407012693,LinkedIn
2129657271,Senior Manager Eficiencia Energética & Caes,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/senior-manager-eficiencia-energ%C3%A9tica-caes-at-rebel-talent-4408284684,LinkedIn
2129657263,Product Owner On The Billing Squad,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/product-owner-on-the-billing-squad-at-alex-staff-4408273945,LinkedIn
2129657262,Coordinador/A De Proyectos De Deportivos,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/coordinador-a-de-proyectos-de-deportivos-at-impulsyn-4407014213,LinkedIn
2129657242,Analista De Medios De Pago (Cobol) - 100% Remoto,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/analista-de-medios-de-pago-cobol-100%25-remoto-at-akkodis-4406401042,LinkedIn
2129657240,Project Controller,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/project-controller-at-geoai-tech-global-ab-4408279678,LinkedIn
2129657238,Investment Manager,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/investment-manager-at-revolut-4406973554,LinkedIn
2129657185,Senior Security Engineer,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/senior-security-engineer-at-epam-systems-4406080432,LinkedIn
